cluster,mathys,tran,MR,broad,Subtype
HC01,,,,Oligo,
HC02,Excit,Excit,Excit,Excit,
HC03,Excit,Excit,Excit,Excit,
HC04,Inhib,Inhib,Inhib,Inhib,
HC05,Excit,Excit,Excit,Excit,
HC06,Excit,Excit,Excit,Excit,
HC07,Oligo,Oligo,Oligo,Oligo,
HC08,Inhib,Inhib,Inhib,Inhib,PVALB
HC09,Excit,,Excit,Excit,
HC10,,"Excit, Oligo",Excit,Excit,
HC11,Oligo,Oligo,Oligo,Oligo,
HC12,OPC,OPC,OPC,OPC,
HC13,Excit,Excit,,Excit,
HC14,Excit,Excit,,Excit,
HC15,,,,Inhib,VIP
HC16,Inhib,Inhib,Inhib,Inhib,LAMP5
HC17,Excit,,,Excit,
HC18,Astro,Astro,Astro,Astro,
HC19,Inhib,Inhib,Inhib,Inhib,
HC20,Inhib,Inhib,Inhib,Inhib,SST
HC21,Excit,Excit,,Excit,
HC22,,"Excit,Inhib",,Excit,
HC23,Excit,Excit,,Excit,
HC24,Micro,Micro,Micro,Micro,
HC25,Excit,Exit,,Excit,
HC26,Endo,Mural,"Endo, Mural",EndoMural,
HC27,,"Excit, Mural","Mural,Tcell",EndoMural,
HC28,Excit,Excit,,Excit,
HC29,Excit,Excit,,Excit,
QC_remove,,,,Ambiguous,