BrNum,ChipType,GenotypingBatch
Br2720,HumanOmni 2.5-8 V1.5 ,Genotyping--2019/11/12
Br2743,HumanOmni 2.5-8 V1.5 ,Genotyping--2022/04/11
Br3942,HumanOmni 2.5-8 V1.5 ,Genotyping--2022/04/11
Br6423,HumanOmni 2.5-8 V1.5 ,Genotyping--2020/07/20
Br6432,HumanOmni 2.5-8 V1.5 ,Genotyping--2020/07/20
Br6471,HumanOmni 2.5-8 V1.5 ,Genotyping--2021/04/26
Br6522,HumanOmni 2.5-8 V1.5 ,Genotyping--2021/04/26
Br8325,HumanOmni 2.5-8 V1.4,Genotyping--2019/04/02
Br8492,HumanOmni 2.5-8 V1.5 ,Genotyping--2022/04/11
Br8667,HumanOmni 2.5-8 V1.5 ,Genotyping--2022/04/11